id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres
5p4jToZA0SpoCFQJfJVGXq,lost and found,THE MILLENNIUM PARADE,"[""\ua248\ua027\ua492\ua492\ua044\ua348\ua348\ua027\ua4a6\ua248 \ua263\ua154\ua3a1\ua154\ua055\ua044""]",0.598,0.931,7,-6.068,0,0.059,0.0751,0.000106,0.0896,0.221,140.971,182187,2021,Pop,0,77986,52.0,"[""3PvbcfORzI3TVPlBxsTmhU""]","[""anime"", ""j-pop""]"
4UWibcE7a4lRPLJ8edFPSH,make a secret,make a secret,"[""BoA""]",0.764,0.6990000000000001,10,-5.605,0,0.0392,0.0172,0.0,0.0685,0.8260000000000001,93.982,296633,2005,Pop,17,854764,58.0,"[""4muJrGMndyYWqZtfk8OWy4""]","[""j-pop"", ""j-r&b"", ""k-pop""]"
7iaFc7axoYaboUlnTKCACB,marco polo,marco polo,"[""CircusP"", ""MikaMagica""]",0.767,0.442,11,-10.367,1,0.132,0.353,0.0,0.308,0.894,122.986,128781,2022,Electronic,22,141597,32.0,"[""6Wn6kyMvfESmIaVy3Sjjvf"", ""678EFk7PC64eFXaebbbDCs""]","[""vocaloid""]"
7tEPVlqhrK9Stc7rIQzFyk,mine,無告 - No Notice,"[""MY FIRST STORY""]",0.49,0.797,10,-5.216,1,0.0413,0.0114,0.0258,0.318,0.316,115.065,261000,2019,Pop,30,718506,60.0,"[""6cutt8thPFUICMfxaYerWd""]","[""anime"", ""j-pop"", ""j-rock""]"
7fDz9R0hY8ub0dTFf9aY78,mio MARE (2v-alk_v),2V-Alk,"[""SawanoHiroyuki[nZk]"", ""Yosh""]",0.659,0.833,8,-5.709,1,0.0317,0.1,0.0,0.117,0.275,119.92,262360,2017,Pop,0,389605,49.0,"[""2EWXgN0xWOnbqJOxa9pWNO"", ""6YQbZJhj2jLdbeNpYFZY73""]","[""anime"", ""j-pop"", ""j-rock"", ""japanese vgm""]"
77npDtmYYmx2vNJWTf6y0U,misery,This is Swanky Dank,"[""SWANKY DANK""]",0.362,0.953,8,-3.604,1,0.0887,1.3e-05,0.0005009999999999,0.401,0.526,97.072,214053,2019,Pop,13,15346,26.0,"[""4l96NtYOUSEKXTUxsyKxtt""]","[""anime"", ""j-rock""]"
18rMnnrdbnKNyAAwaZhpsO,more more more,MORE! MORE! MORE!,"[""CAPSULE""]",0.529,0.948,6,-1.396,0,0.121,0.00392,0.0045,0.0832,0.612,135.015,252827,2008,Electronic,17,148607,45.0,"[""61KJdJU38zrAW4c3PI9C9N""]","[""japanese indie"", ""shibuya-kei""]"
3UOmFToAzaQGL0amosn8XY,my pet theory,VANDALIZE,"[""10-FEET""]",0.464,0.95,7,-1.381,1,0.0549,0.0003219999999999,0.00104,0.364,0.59,110.031,205747,2008,Rock,16,423083,55.0,"[""0QZqdhoRQkn1VphAa5eX8h""]","[""j-pop"", ""j-rock"", ""melodic hardcore""]"
3mALM7a4cLufetyxSUPbl5,night is young,nightlife,"[""yuragi""]",0.232,0.757,5,-3.512,0,0.0599,0.0344,0.0579,0.146,0.268,123.982,344000,2016,Rock,42,66186,37.0,"[""1Ksf2sRoSTPdLYbGxJ9oms""]","[""dream pop"", ""j-rock"", ""japanese indie"", ""math rock"", ""shoegaze""]"
0LY6qkZXUePAtbZYxBgFIo,not try to fly,Camellia Japonica,"[""DAZZLE VISION""]",0.247,0.8150000000000001,1,-5.06,1,0.0459,5.34e-06,0.719,0.26,0.143,139.783,319333,2007,Rock,8,12417,18.0,"[""1dYHBviFFOem5Y7eYFIDV8""]","[""j-rock"", ""visual kei""]"
0EXvNH9A2QfYTOI30Yu6lF,orb,Crystal Children,"[""DAZZLE VISION""]",0.489,0.858,6,-2.767,0,0.0873,0.0006,0.0,0.205,0.496,115.821,186987,2008,Rock,5,12417,18.0,"[""1dYHBviFFOem5Y7eYFIDV8""]","[""j-rock"", ""visual kei""]"
6gQDqVCCMQ2wfqUPjcUjBr,paradise. (feat. demxntia),praystation 2,"[""CVLTE"", ""demxntia""]",0.5740000000000001,0.799,5,-2.497,1,0.0318,0.0265,0.0,0.0712,0.553,135.032,203100,2021,Rock,32,200072,47.5,"[""3IVZ4DbJgnhOtXQruNdomA"", ""6trEYfLSuAd9CS8bCy4sOH""]","[""emo rap"", ""j-rock"", ""vietnamese lo-fi""]"
